m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
32.00,112049.66,39657.73,18181.82,54210.11,1355.25,56190.23,141084.01,13305.32,2207.25,58674.82,0.15,49873.60,15894.90,33978.69,107000.00,79881.32,199881.32,-165902.63,-3102361.85,704097.82,930096.51
33.00,129567.96,43623.51,18181.82,67762.64,1694.07,66106.34,165088.17,15405.49,2632.38,67936.27,0.15,57745.83,18566.81,39179.03,107000.00,88351.65,208351.65,-169172.62,-3271534.47,815235.27,1059664.47
34.00,150870.97,47985.86,18181.82,84703.29,2117.58,78233.79,193782.92,17918.21,3128.94,79017.05,0.15,67164.49,21788.18,45376.31,107000.00,98939.56,218939.56,-173563.25,-3445097.72,948204.59,1210535.44
35.00,170966.26,52784.44,18181.82,100000.00,2500.00,89571.18,226069.78,20927.57,3726.09,92287.96,0.15,78444.77,25182.00,53262.77,107000.00,108500.00,228500.00,-175237.23,-3620334.95,1107455.54,1381501.70
36.00,176244.70,58062.89,18181.82,100000.00,2500.00,91946.48,255858.12,24468.09,4377.63,107901.23,0.15,91716.04,27504.72,64211.32,107000.00,108500.00,228500.00,-164288.68,-3784623.63,1294814.70,1557746.40
37.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,283021.94,28358.81,4869.44,125058.79,0.15,106299.97,29493.35,76806.62,107000.00,108500.00,228500.00,-151693.38,-3936317.01,1500705.47,1735928.22
38.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,307772.02,32391.42,5166.97,142842.13,0.15,121415.81,31225.86,90189.95,107000.00,108500.00,228500.00,-138310.05,-4074627.06,1714105.58,1914110.04
39.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,330733.96,36422.68,5326.91,160619.46,0.30,112433.62,32833.20,79600.42,107000.00,108500.00,228500.00,-148899.58,-4223526.64,1927433.47,2092291.86
40.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,352371.21,40359.58,5393.81,177980.71,0.30,124586.49,34347.80,90238.69,107000.00,108500.00,228500.00,-138261.31,-4361787.95,2135768.48,2270473.67
41.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,373027.12,44161.73,5416.53,194747.71,0.30,136323.40,35793.72,100529.68,107000.00,108500.00,228500.00,-127970.32,-4489758.27,2336972.50,2448655.49
42.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,392956.02,47815.78,5420.52,210861.60,0.30,147603.12,37188.74,110414.38,107000.00,108500.00,228500.00,-118085.62,-4607843.88,2530339.26,2626837.31
43.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,412346.34,51324.41,5421.26,226334.22,0.30,158433.96,38546.06,119887.89,107000.00,108500.00,228500.00,-108612.11,-4716455.99,2716010.69,2805019.13
44.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,431337.67,54692.69,5421.26,241187.94,0.30,168831.56,39875.46,128956.10,107000.00,108500.00,228500.00,-99543.90,-4815999.89,2894255.27,2983200.95
45.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,450033.43,57926.25,5421.26,255447.50,0.30,178813.25,41184.16,137629.10,107000.00,108500.00,228500.00,-90870.90,-4906870.79,3065370.06,3161382.77
46.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,468510.22,61030.46,5421.26,269136.69,0.30,188395.68,42477.53,145918.15,107000.00,108500.00,228500.00,-82581.85,-4989452.64,3229640.26,3339564.58
47.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,486824.79,64010.50,5421.26,282278.30,0.30,197594.81,43759.55,153835.26,107000.00,108500.00,228500.00,-74664.74,-5064117.38,3387339.66,3517746.40
48.00,178181.82,60000.00,18181.82,100000.00,2500.00,92818.18,505019.19,66871.34,5421.26,294894.26,0.30,206425.98,45033.16,161392.82,107000.00,108500.00,228500.00,-67107.18,-5131224.56,3538731.07,3695928.22
